"id","title","description","link","image_link","price","availability","item_group_id",google_product_category
IB_CA_USA_1,Smart Digital Thermal Bottle, Keep your beverages hot or cold for up to 6 hours with advanced insulation. The built-in digital display shows the temperature in Celsius at a glance.,https://imperialbazaar.com/products/450ml-thermos-cup-digital-temperature-display/,https://cdn.shopify.com/s/files/1/0756/5085/9276/files/coffee-thermal_bottle.png?v=1748517936,USD 26,in stock,IB_CA_USA,Travel Bottles & Containers
IB_WD_UDA_2,Camera Wall clock,"Add style and function to any space with our 10"" Modern Wall Clock. Available in black or white frames with matching or contrasting hands, it features a durable plexiglass face and a sleek 1.75"" profile. Easy to hang with the built-in hook and powered by a single AA battery (included), it's the perfect timekeeping accent for any room.",https://imperialbazaar.com/products/modern-10-inch-wall-clock,https://cdn.shopify.com/s/files/1/0756/5085/9276/files/camera-wall-clock-wall-clock-dany-designs-6103578083443.jpg?v=1748688681,USD 50,in stock,IB_WD_USA,Wall Clocks
IB_WD_USA_3,Bookworm Wall Clock,"Add style and function to any space with our 10"" Modern Wall Clock. Available in black or white frames with matching or contrasting hands, it features a durable plexiglass face and a sleek 1.75"" profile. Easy to hang with the built-in hook and powered by a single AA battery (included), it's the perfect timekeeping accent for any room.",https://imperialbazaar.com/products/10in-wall-clock-black-white-frame,https://cdn.shopify.com/s/files/1/0756/5085/9276/files/bookworm-wall-clock-wall-clock-dany-designs-6103578509427.jpg?v=1748689130,UD 50,in stock,IN_WD_USA,Wall Clocks
